"Company";"Company_Old";"NAIC";"Plan";"State";"Area";"Zip_Lookup_Code";"Gender";"T/NT";"Couple_Fac";"Eff_Date";"Rate_Type";"Age_For_Sorting";"Lowest_Rate?";"Highest_Rate?";"Age";"Monthly_Rate";"Quarterly_Rate";"Semi-Annual_Rate";"Annual_Rate";"Policy Fee";"Household Discount"
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";85.00;"Y";"N";"85";150.77;479.65;941.20;1810.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";86.00;"Y";"N";"86";152.44;484.95;951.60;1830.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";87.00;"Y";"N";"87";154.02;489.99;961.48;1849.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";88.00;"Y";"N";"88";155.52;494.76;970.84;1867.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";89.00;"Y";"N";"89";157.10;499.79;980.72;1886.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";90.00;"Y";"N";"90";158.35;503.77;988.52;1901.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";91.00;"Y";"N";"91";159.77;508.27;997.36;1918.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";92.00;"Y";"N";"92";160.85;511.72;1004.12;1931.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";93.00;"Y";"N";"93";161.94;515.16;1010.88;1944.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";94.00;"Y";"N";"94";163.18;519.14;1018.68;1959.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";95.00;"Y";"N";"95";164.10;522.05;1024.40;1970.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";96.00;"Y";"N";"96";165.18;525.50;1031.16;1983.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";97.00;"Y";"N";"97";166.10;528.41;1036.88;1994.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";98.00;"Y";"N";"98";166.93;531.06;1042.08;2004.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";99.00;"Y";"N";"99";168.10;534.77;1049.36;2018.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";100.00;"Y";"N";"100";168.10;534.77;1049.36;2018.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";65.00;"Y";"N";"65";107.79;342.91;672.88;1294.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";66.00;"Y";"N";"66";107.79;342.91;672.88;1294.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";67.00;"Y";"N";"67";107.79;342.91;672.88;1294.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";68.00;"Y";"N";"68";112.21;356.96;700.44;1347.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";69.00;"Y";"N";"69";117.37;373.39;732.68;1409.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";70.00;"Y";"N";"70";121.95;387.96;761.28;1464.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";71.00;"Y";"N";"71";126.62;402.80;790.40;1520.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";72.00;"Y";"N";"72";131.11;417.11;818.48;1574.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";73.00;"Y";"N";"73";135.11;429.83;843.44;1622.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";74.00;"Y";"N";"74";139.11;442.55;868.40;1670.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";75.00;"Y";"N";"75";142.61;453.68;890.24;1712.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";76.00;"Y";"N";"76";145.78;463.75;910.00;1750.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";77.00;"Y";"N";"77";149.11;474.35;930.80;1790.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";78.00;"Y";"N";"78";151.86;483.10;947.96;1823.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";79.00;"Y";"N";"79";154.69;492.11;965.64;1857.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";80.00;"Y";"N";"80";157.10;499.79;980.72;1886.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";81.00;"Y";"N";"81";159.27;506.68;994.24;1912.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";82.00;"Y";"N";"82";161.44;513.57;1007.76;1938.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";83.00;"Y";"N";"83";163.52;520.20;1020.76;1963.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";84.00;"Y";"N";"84";165.52;526.56;1033.24;1987.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";85.00;"Y";"N";"85";167.43;532.65;1045.20;2010.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";86.00;"Y";"N";"86";169.43;539.01;1057.68;2034.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";87.00;"Y";"N";"87";171.10;544.31;1068.08;2054.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";88.00;"Y";"N";"88";172.93;550.14;1079.52;2076.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";89.00;"Y";"N";"89";174.43;554.91;1088.88;2094.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";90.00;"Y";"N";"90";176.26;560.74;1100.32;2116.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";91.00;"Y";"N";"91";177.51;564.72;1108.12;2131.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";92.00;"Y";"N";"92";178.93;569.22;1116.96;2148.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";93.00;"Y";"N";"93";180.09;572.93;1124.24;2162.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";94.00;"Y";"N";"94";181.34;576.91;1132.04;2177.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";95.00;"Y";"N";"95";182.43;580.35;1138.80;2190.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";96.00;"Y";"N";"96";183.34;583.27;1144.52;2201.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";97.00;"Y";"N";"97";184.59;587.24;1152.32;2216.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";98.00;"Y";"N";"98";185.59;590.42;1158.56;2228.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";99.00;"Y";"N";"99";186.76;594.13;1165.84;2242.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Tobacco";"";"10/1/2018";"Attained Age";100.00;"Y";"N";"100";186.76;594.13;1165.84;2242.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";65.00;"Y";"N";"65";111.54;354.84;696.28;1339.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";66.00;"Y";"N";"66";111.54;354.84;696.28;1339.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";67.00;"Y";"N";"67";111.54;354.84;696.28;1339.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";68.00;"Y";"N";"68";116.20;369.68;725.40;1395.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";69.00;"Y";"N";"69";121.45;386.37;758.16;1458.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";70.00;"Y";"N";"70";126.37;402.01;788.84;1517.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";71.00;"Y";"N";"71";131.20;417.38;819.00;1575.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";72.00;"Y";"N";"72";135.78;431.95;847.60;1630.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";73.00;"Y";"N";"73";139.94;445.20;873.60;1680.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";74.00;"Y";"N";"74";143.94;457.92;898.56;1728.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";75.00;"Y";"N";"75";147.69;469.85;921.96;1773.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";76.00;"Y";"N";"76";150.94;480.18;942.24;1812.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";77.00;"Y";"N";"77";154.11;490.25;962.00;1850.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";78.00;"Y";"N";"78";157.27;500.32;981.76;1888.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";79.00;"Y";"N";"79";159.94;508.80;998.40;1920.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";80.00;"Y";"N";"80";162.68;517.55;1015.56;1953.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";81.00;"Y";"N";"81";164.77;524.17;1028.56;1978.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";82.00;"Y";"N";"82";167.18;531.86;1043.64;2007.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";83.00;"Y";"N";"83";169.35;538.75;1057.16;2033.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";84.00;"Y";"N";"84";171.26;544.84;1069.12;2056.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";85.00;"Y";"N";"85";173.43;551.73;1082.64;2082.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";86.00;"Y";"N";"86";175.26;557.56;1094.08;2104.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";87.00;"Y";"N";"87";177.01;563.13;1105.00;2125.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";88.00;"Y";"N";"88";179.01;569.49;1117.48;2149.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";89.00;"Y";"N";"89";180.51;574.26;1126.84;2167.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";90.00;"Y";"N";"90";182.34;580.09;1138.28;2189.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";91.00;"Y";"N";"91";183.76;584.59;1147.12;2206.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";92.00;"Y";"N";"92";185.01;588.57;1154.92;2221.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";93.00;"Y";"N";"93";186.59;593.60;1164.80;2240.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";94.00;"Y";"N";"94";187.43;596.25;1170.00;2250.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";95.00;"Y";"N";"95";188.59;599.96;1177.28;2264.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";96.00;"Y";"N";"96";189.76;603.67;1184.56;2278.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";97.00;"Y";"N";"97";190.92;607.38;1191.84;2292.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";98.00;"Y";"N";"98";192.01;610.83;1198.60;2305.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";99.00;"Y";"N";"99";193.09;614.27;1205.36;2318.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Non-Tobacco";"";"10/1/2018";"Attained Age";100.00;"Y";"N";"100";193.09;614.27;1205.36;2318.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";65.00;"Y";"N";"65";123.95;394.32;773.76;1488.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";66.00;"Y";"N";"66";123.95;394.32;773.76;1488.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";67.00;"Y";"N";"67";123.95;394.32;773.76;1488.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";68.00;"Y";"N";"68";129.12;410.75;806.00;1550.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";69.00;"Y";"N";"69";134.78;428.77;841.36;1618.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";70.00;"Y";"N";"70";140.44;446.79;876.72;1686.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";71.00;"Y";"N";"71";145.78;463.75;910.00;1750.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";72.00;"Y";"N";"72";150.77;479.65;941.20;1810.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";73.00;"Y";"N";"73";155.52;494.76;970.84;1867.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";74.00;"Y";"N";"74";159.94;508.80;998.40;1920.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";75.00;"Y";"N";"75";163.93;521.52;1023.36;1968.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";76.00;"Y";"N";"76";167.77;533.71;1047.28;2014.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";77.00;"Y";"N";"77";171.35;545.11;1069.64;2057.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";78.00;"Y";"N";"78";174.60;555.44;1089.92;2096.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";79.00;"Y";"N";"79";177.68;565.25;1109.16;2133.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";80.00;"Y";"N";"80";180.51;574.26;1126.84;2167.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Male";"Tobacco";"";"10/1/2018";"Attained Age";81.00;"Y";"N";"81";183.18;582.74;1143.48;2199.00;"$20";
